City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Chokurdakh,RU,70.6333,147.9167,-29.65,96,16,2.21,few clouds
89,Yamaga,JP,33.0167,130.6833,39.02,67,37,3.24,scattered clouds
90,Dikson,RU,73.5069,80.5464,-5.21,94,100,22.3,overcast clouds
91,Tiquicheo,MX,18.8833,-100.7333,90.7,26,0,5.48,clear sky
92,Lamu,KE,-2.2717,40.902,77.22,85,82,9.53,broken clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,92,94,6.76,overcast clouds
94,Bluff,NZ,-46.6,168.3333,72.81,84,82,5.21,broken clouds
95,Qaanaaq,GL,77.484,-69.3632,-7.42,68,100,6.53,overcast clouds
96,Barrow,US,71.2906,-156.7887,-5.78,77,75,10.36,light snow
97,Sokoni,TZ,-6.4333,39.55,79.77,80,98,9.28,overcast clouds
98,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,81.61,77,28,3.53,scattered clouds
99,Kavaratti,IN,10.5669,72.642,81.21,72,11,5.53,few clouds
100,Sao Borja,BR,-28.6606,-56.0044,81.93,34,0,9.17,clear sky
101,Evanston,US,42.0411,-87.6901,29.46,66,100,1.99,overcast clouds
102,Saint-Georges,GD,12.0564,-61.7485,78.48,78,20,11.5,few clouds
103,Guerrero Negro,MX,27.9769,-114.0611,63.59,55,87,13.85,overcast clouds
104,Georgetown,MY,5.4112,100.3354,79.9,90,20,5.01,few clouds
105,Lincoln,US,40.8,-96.667,47.01,41,0,1.99,clear sky
106,Verkhoyansk,RU,67.5447,133.385,-36.29,100,96,1.72,overcast clouds
107,Olafsvik,IS,64.8945,-23.7142,27.54,55,100,25.48,overcast clouds
108,Itoman,JP,26.1247,127.6694,59.02,59,75,23.02,broken clouds
109,Upington,ZA,-28.4478,21.2561,73.78,73,20,3.44,few clouds
110,Sobolevo,RU,54.4299,31.8996,29.37,98,99,4.72,overcast clouds
111,Airai,TL,-8.9266,125.4092,66.16,77,87,4.74,overcast clouds
112,Saskylakh,RU,71.9167,114.0833,-21.86,100,99,2.68,overcast clouds
113,Thompson,CA,55.7435,-97.8558,3.36,78,20,4.61,few clouds
114,Vardo,NO,70.3705,31.1107,25.0,62,98,13.38,overcast clouds
115,Lavrentiya,RU,65.5833,-171.0,-5.03,91,6,4.23,clear sky
116,Jaboatao,BR,-8.1803,-35.0014,83.59,74,75,10.36,broken clouds
117,Saint-Louis,SN,16.3333,-15.0,78.44,14,100,10.65,overcast clouds
118,Grand Gaube,MU,-20.0064,57.6608,79.2,82,100,3.0,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,75.85,88,97,4.83,light rain
120,Whitehorse,CA,60.7161,-135.0538,7.81,70,75,11.01,light snow
121,Upernavik,GL,72.7868,-56.1549,-4.59,97,100,2.73,overcast clouds
122,Ostrovnoy,RU,68.0531,39.5131,8.17,95,93,8.21,overcast clouds
123,Itupiranga,BR,-5.1347,-49.3267,72.99,94,95,1.79,overcast clouds
124,Dingle,PH,10.9995,122.6711,78.4,85,47,5.21,scattered clouds
125,Salalah,OM,17.0151,54.0924,68.09,77,0,5.75,clear sky
126,Atar,MR,20.5169,-13.0499,79.61,11,100,8.9,overcast clouds
127,Sola,VU,-13.8833,167.55,83.07,84,75,4.61,broken clouds
128,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.8,82,76,7.74,broken clouds
129,Chichli,IN,22.8333,78.8167,55.45,39,0,3.78,clear sky
130,Yar-Sale,RU,66.8333,70.8333,-5.6,98,89,7.85,overcast clouds
131,Ibra,OM,22.6906,58.5334,65.21,37,0,1.61,clear sky
132,Garden City,US,42.3256,-83.331,26.85,67,75,3.44,broken clouds
133,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,20.71,light snow
134,Kysyl-Syr,RU,63.8986,122.7617,-27.38,100,93,3.91,overcast clouds
135,Muisne,EC,0.6,-80.0333,76.46,84,100,4.5,light rain
136,Monze,ZM,-16.2833,27.4833,63.63,98,100,3.76,light rain
137,Elko,US,41.0002,-115.5012,44.62,34,12,2.24,few clouds
138,Petropavl,KZ,54.8753,69.1628,10.54,95,100,8.55,light snow
139,North Bend,US,43.4065,-124.2243,58.91,85,100,13.8,overcast clouds
140,Esperance,AU,-33.8667,121.9,67.84,80,38,16.6,scattered clouds
141,Peniche,PT,39.3558,-9.3811,56.08,74,12,8.93,few clouds
142,San Patricio,US,28.017,-97.5169,68.09,68,63,11.03,broken clouds
143,Najran,SA,17.4924,44.1277,57.85,32,11,2.46,few clouds
144,Henties Bay,NA,-22.116,14.2845,66.85,79,100,8.57,overcast clouds
145,Dubbo,AU,-32.25,148.6167,78.93,69,40,9.22,scattered clouds
146,Muros,ES,42.7762,-9.0603,50.85,66,0,6.64,clear sky
147,Hithadhoo,MV,-0.6,73.0833,81.55,71,65,9.46,broken clouds
148,Chuy,UY,-33.6971,-53.4616,70.97,78,13,14.14,few clouds
149,East London,ZA,-33.0153,27.9116,74.16,84,88,14.05,overcast clouds
150,Poronaysk,RU,49.2167,143.1167,7.95,86,97,3.89,overcast clouds
151,Rocha,UY,-34.4833,-54.3333,67.93,82,0,10.6,clear sky
152,Carnarvon,AU,-24.8667,113.6333,80.67,69,41,17.27,scattered clouds
153,Pangkalanbuun,ID,-2.6833,111.6167,77.43,82,96,2.57,overcast clouds
154,Macas,EC,-2.3167,-78.1167,73.15,83,75,2.3,broken clouds
155,Banda Aceh,ID,5.5577,95.3222,76.42,81,64,7.09,broken clouds
156,Gadsden,US,34.0143,-86.0066,57.15,35,0,8.05,clear sky
157,San Marcos,US,33.1434,-117.1661,71.47,63,0,3.0,clear sky
158,Mormugao,IN,15.4,73.8,70.86,83,7,9.22,clear sky
159,Vung Tau,VN,10.346,107.0843,78.28,80,72,20.36,broken clouds
160,Kieta,PG,-6.2167,155.6333,84.99,71,100,7.02,overcast clouds
161,Zambezi,ZM,-13.5432,23.1047,63.84,98,100,4.07,overcast clouds
