City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Kyabram,AU,82.87,scattered clouds,-36.3167,145.05,Kyabram Motor Inn
424,Vao,NC,79.18,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
430,Ciudad Bolivar,VE,82.29,scattered clouds,8.1222,-63.5497,Hotel Edi
431,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
438,Yeppoon,AU,83.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
440,Vanimo,PG,76.8,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
446,Ballina,AU,82.58,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
452,Mareeba,AU,83.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
454,Basay,PH,80.06,clear sky,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
455,Finschhafen,PG,85.46,overcast clouds,-6.6024,147.8681,Cossam Guest House
457,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
458,Luganville,VU,80.76,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
459,Waingapu,ID,81.23,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
469,Byron Bay,AU,82.87,broken clouds,-28.65,153.6167,Backpackers Inn
483,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
486,Zaraza,VE,76.32,broken clouds,9.3503,-65.3245,Hotel Zaraza
489,Ahipara,NZ,75.9,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
491,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
494,Alcantara,BR,82.6,overcast clouds,-2.4089,-44.4147,Pousada da Josefa
497,Linhares,BR,77.74,broken clouds,-19.3911,-40.0722,Hotel Conceição
516,Kita,ML,76.46,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
522,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
524,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
529,San Pedro De Ycuamandiyu,PY,81.16,clear sky,-24.0917,-57.0764,Hotel Refugio
531,Bambey,SN,75.25,overcast clouds,14.6955,-16.4493,Dolicile Mouhamadou Kabir SALL
534,Mitsamiouli,KM,80.29,clear sky,-11.3847,43.2844,Foyer ADM
537,Parintins,BR,75.04,overcast clouds,-2.6283,-56.7358,Cama e Cafe
540,Ugoofaaru,MV,82.11,broken clouds,5.6667,73.0,Ungoofaaru Inn
549,Nieuw Amsterdam,SR,80.62,few clouds,5.8833,-55.0833,Hotel Stardust
