City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
44,Bethel,US,2022-01-29 21:50:01,41.3712,-73.414,18.36,60,100,4.0
45,Trelew,AR,2022-01-29 21:46:08,-43.249,-65.3051,89.6,15,64,7.11
46,Castro,BR,2022-01-29 21:50:43,-24.7911,-50.0119,59.94,99,100,6.78
47,Sakakah,SA,2022-01-29 21:51:44,29.9697,40.2064,47.77,47,0,9.33
48,Hermanus,ZA,2022-01-29 21:51:44,-34.4187,19.2345,66.79,77,2,13.8
49,Port Hardy,CA,2022-01-29 21:49:12,50.6996,-127.4199,46.76,87,100,21.85
50,Mataura,NZ,2022-01-29 21:51:45,-46.1927,168.8643,57.61,96,100,2.59
51,Payo,ID,2022-01-29 21:51:45,-3.7508,103.6372,72.43,98,100,0.6
52,Cherskiy,RU,2022-01-29 21:51:46,68.75,161.3,-27.76,100,57,2.46
53,Saint-Augustin,CA,2022-01-29 21:51:46,51.226,-58.6502,7.75,88,100,16.89
54,Qaanaaq,GL,2022-01-29 21:51:47,77.484,-69.3632,2.46,62,100,10.49
55,Ribeira Grande,PT,2022-01-29 21:51:40,38.5167,-28.7,59.4,72,20,4.61
56,Bambous Virieux,MU,2022-01-29 21:51:47,-20.3428,57.7575,79.05,83,20,5.75
57,Baykit,RU,2022-01-29 21:51:48,61.67,96.37,-4.54,100,98,1.1
58,Shiyan,CN,2022-01-29 21:51:48,32.6475,110.7781,31.84,89,11,0.36
59,Hobart,AU,2022-01-29 21:51:34,-42.8794,147.3294,64.02,69,75,1.99
60,Kutina,HR,2022-01-29 21:51:49,45.475,16.7819,35.58,84,79,4.41
61,Nome,US,2022-01-29 21:49:55,64.5011,-165.4064,1.17,59,0,3.44
62,Uthal,PK,2022-01-29 21:51:49,25.8072,66.6219,64.72,72,0,2.46
63,Amealco,MX,2022-01-29 21:51:49,20.1833,-100.15,59.07,40,9,9.91
64,Butaritari,KI,2022-01-29 21:51:33,3.0707,172.7902,82.38,75,34,20.29
65,Ust-Omchug,RU,2022-01-29 21:51:50,61.15,149.6333,-4.59,99,98,7.0
66,Iwaki,JP,2022-01-29 21:51:50,37.05,140.8833,35.35,65,69,7.0
67,Tasiilaq,GL,2022-01-29 21:51:51,65.6145,-37.6368,4.91,74,95,6.96
68,Bakchar,RU,2022-01-29 21:51:51,57.0186,82.0711,-9.09,100,79,3.24
69,Gorontalo,ID,2022-01-29 21:51:52,0.5412,123.0595,73.92,94,99,3.4
70,Khatanga,RU,2022-01-29 21:51:52,71.9667,102.5,-3.78,98,100,5.93
71,Martapura,ID,2022-01-29 21:51:53,-3.4167,114.85,75.29,100,96,2.3
72,Flinders,AU,2022-01-29 21:51:53,-34.5833,150.8552,78.39,78,100,7.0
73,Pisco,PE,2022-01-29 21:51:54,-13.7,-76.2167,73.45,68,20,14.97
74,Varkkallai,IN,2022-01-29 21:51:54,8.7341,76.7067,76.78,77,68,8.05
75,Kinsale,IE,2022-01-29 21:51:55,51.7075,-8.5306,43.97,75,20,4.61
76,Zaozhuang,CN,2022-01-29 21:51:55,34.8647,117.5542,30.13,52,56,1.36
77,Torgelow,DE,2022-01-29 21:51:56,53.6333,14.0167,46.63,66,80,32.79
78,Meulaboh,ID,2022-01-29 21:51:56,4.1363,96.1285,77.02,89,73,3.04
79,Daru,PG,2022-01-29 21:51:56,-9.0763,143.2092,78.73,86,100,10.63
80,Hovd,MN,2022-01-29 21:51:57,48.0056,91.6419,-13.47,73,14,2.28
81,Farafangana,MG,2022-01-29 21:51:57,-22.8167,47.8333,75.27,77,30,5.66
82,Ushuaia,AR,2022-01-29 21:51:58,-54.8,-68.3,46.06,87,100,11.5
83,Avarua,CK,2022-01-29 21:51:58,-21.2078,-159.775,82.45,78,64,11.5
84,Bulri,PK,2022-01-29 21:51:59,24.8667,68.3333,63.86,79,0,7.7
